Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
5222 KANSAS DR,05-31-376-110,05,2011,162500,WRD,1353,120.10,2001,Attachd,2,3,2,0,0,0,Yes,0,1353,0,7800,RL,VinylSd,1-Story,1FamDet
1418 KENTUCKY AVE,05-31-451-240,05,2011,165000,WRD,1422,116.03,1991,Attachd,2,3,2,0,1,0,Yes,0,1370,64,11218,RL,VinylSd,1-Story,1FamDet
1504 ILLINOIS AVE,05-31-453-090,05,2011,163500,WRD,1279,127.83,1986,Attachd,2,3,2,0,0,1,Yes,0,1279,89,7435,RL,Plywood,1-Story,1FamDet
1406 FLORIDA AVE,05-31-479-030,05,2011,106000,WRD,965,109.84,1965,Detachd,1,3,1,0,1,0,Yes,0,828,77,7800,RH,VinylSd,1-Story,1FamDet
1306 WOODSTOCK AVE,05-32-353-120,05,2011,105500,WRD,894,118.01,1977,Detachd,1,2,1,0,1,0,Yes,0,894,55,6285,RL,Plywood,1-Story,1FamDet
4116 TORONTO ST,05-32-354-050,09,2010,105000,WRD,876,119.86,1964,Detachd,1,2,1,0,1,0,Yes,0,876,83,7420,RL,VinylSd,1-Story,1FamDet
1312 ARIZONA AVE,05-32-354-170,04,2011,152000,WRD,1091,139.32,1967,Attachd,2,3,1,0,1,0,Yes,0,1091,87,12270,RL,HdBoard,1-Story,1FamDet
1305 ALABAMA LN,05-32-377-100,06,2010,133000,WRD,1040,127.88,1963,Attachd,1,3,1,1,1,0,Yes,0,1040,79,7500,RL,HdBoard,1-Story,1FamDet
3338 CANTERBURY CT,05-32-477-190,05,2011,242500,WRD,1562,155.25,2001,Attachd,2,3,2,0,0,0,Yes,1,1562,0,19255,RL,Wd Sdng,1-Story,1FamDet
1312 WISCONSIN CIR,05-32-479-115,05,2011,150000,WRD,1060,141.51,1974,Attachd,2,3,2,0,1,0,Yes,1,1060,68,12542,RL,HdBoard,1-Story,1FamDet
3113 ROSEWOOD CIR,05-33-120-080,05,2011,287500,WRD,2000,143.75,1991,Attachd,2,2,2,0,1,0,Yes,1,2000,54,9955,RL,HdBoard,1-Story,1FamDet
