Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type,Assessed
2913 ARROWWOOD CIR,05-28-382-020,06,2011,287250,WRD,2270,126.54,1999,Attachd,3,4,2,1,0,0,Yes,1,1152,45,11764,RL,VinylSd,2-Story,1FamDet,
2907 ARROWWOOD CIR,05-28-382-030,06,2010,221000,WRD,1839,120.17,1998,Attachd,2,4,2,1,0,0,Yes,0,1195,0,16770,RL,VinylSd,2-Story,1FamDet,
3031 VALLEY VIEW RD,05-28-387-070,06,2011,232000,WRD,1767,131.30,1996,Attachd,2,3,2,1,1,0,Yes,1,912,82,10574,RL,VinylSd,2-Story,1FamDet,
2727 KINGSTON DR,05-28-452-010,09,2010,211279,WRD,1598,132.21,2010,Attachd,2,3,2,1,0,0,Yes,0,780,0,8137,F-VR,VinylSd,2-Story,1FamDet,
2722 CLAYTON DR,05-28-456-080,06,2010,305415,New,1936,157.76,2010,Attachd,3,3,2,1,1,0,Yes,1,985,77,9600,F-VR,VinylSd,2-Story,1FamDet,
2719 ASPEN RD,05-28-456-150,06,2010,216500,New,1696,127.65,2010,Attachd,2,3,2,1,0,0,Yes,0,848,0,7790,F-VR,VinylSd,2-Story,1FamDet,
2805 ASPEN RD,05-28-456-170,06,2010,219750,New,1586,138.56,2010,Attachd,2,3,2,1,1,0,Yes,1,793,68,8640,F-VR,VinylSd,2-Story,1FamDet,
2816 ASPEN RD,05-28-458-070,06,2010,215200,Ctr,1547,139.11,2009,Attachd,2,3,2,1,0,0,Yes,0,756,3,8640,F-VR,VinylSd,2-Story,1FamDet,
2810 ASPEN RD,05-28-458-080,06,2010,235000,WRD,1798,130.70,2007,Attachd,2,3,2,1,0,0,Yes,0,896,0,8640,F-VR,VinylSd,2-Story,1FamDet,
2719 CAMBRIDGE DR,05-28-458-120,08,2010,247500,WRD,1959,126.34,2006,Attachd,3,3,2,1,1,0,Yes,1,1088,73,9000,F-VR,VinylSd,2-Story,1FamDet,
2802 CAMBRIDGE DR,05-28-458-150,11,2010,285000,WRD,1880,151.60,2007,Attachd,3,3,2,1,1,0,Yes,1,955,78,12217,F-VR,VinylSd,2-Story,1FamDet,
2624 KINGSTON DR,05-28-480-010,09,2010,263000,WRD,1732,151.85,2006,Attachd,2,3,2,1,0,0,Yes,1,1258,0,12341,F-VR,VinylSd,2-Story,1FamDet,
2512 KINGSTON DR,05-28-480-070,07,2010,302000,WRD,1939,155.75,2006,Attachd,3,3,2,1,1,0,Yes,1,1095,68,10728,F-VR,VinylSd,2-Story,1FamDet,
2517 CLAYTON DR,05-28-480-110,03,2011,213500,WRD,1716,124.42,2005,Attachd,2,3,2,1,0,0,Yes,0,858,0,8125,F-VR,VinylSd,2-Story,1FamDet,
5220 MARYLAND ST,05-31-382-110,06,2011,167000,WRD,1680,99.40,1993,Attachd,2,3,2,1,0,1,Yes,0,886,68,8480,RL,HdBoard,2-Story,1FamDet,
1326 NEBRASKA AVE,05-31-385-120,09,2010,197500,WRD,1617,122.14,1993,Attachd,2,3,2,1,1,0,Yes,0,830,91,13026,RL,VinylSd,2-Story,1FamDet,
1309 KENTUCKY AVE,05-31-450-040,07,2010,176000,WRD,1603,109.79,1992,Attachd,2,3,2,1,0,0,Yes,0,761,51,7153,RL,VinylSd,2-Story,1FamDet,
1521 KENTUCKY AVE,05-31-450-150,04,2011,168000,WRD,1600,105.00,1992,Attachd,2,3,2,1,1,0,Yes,0,800,84,7703,RL,HdBoard,2-Story,1FamDet,
1531 KENTUCKY AVE,05-31-450-170,07,2011,190000,WRD,1710,111.11,1993,Attachd,2,3,2,1,0,0,Yes,0,832,51,9291,RL,HdBoard,2-Story,1FamDet,
1504 KENTUCKY AVE,05-31-451-260,09,2010,181500,WRD,1600,113.44,1992,Attachd,2,3,2,1,0,0,Yes,1,800,34,11218,RL,HdBoard,2-Story,1FamDet,
3114 ROSEWOOD CIR,05-33-120-130,11,2010,262000,WRD,2105,124.47,1991,Attachd,2,3,2,1,1,0,Yes,1,822,78,10233,RL,HdBoard,2-Story,1FamDet,
2722 VALLEY VIEW CIR,05-33-127-060,09,2010,345000,WRD,2458,140.36,1992,BuiltIn,3,4,2,1,1,0,Yes,1,1208,84,18630,RL,HdBoard,2-Story,1FamDet,
2920 NORTHRIDGE PKY,05-33-130-020,06,2010,190000,COD,1923,98.80,1992,Attachd,2,3,2,1,1,0,Yes,1,750,90,10186,RL,HdBoard,2-Story,1FamDet,
2406 RIDGETOP CIR,05-33-130-130,06,2010,362500,WRD,2349,154.32,1993,Attachd,3,4,2,1,1,0,Yes,1,1231,100,13143,RL,HdBoard,2-Story,1FamDet,
2424 RIDGETOP CIR,05-33-130-160,06,2010,285000,WRD,2225,128.09,1992,Attachd,3,4,2,1,1,0,Yes,1,1390,81,11134,RL,HdBoard,2-Story,1FamDet,
2507 SHERWOOD AVE,05-33-234-030,02,2011,239000,WRD,1747,136.81,1999,Attachd,2,3,2,1,1,0,Yes,0,893,78,11401,F-VR,VinylSd,2-Story,1FamDet,
2012 PRAIRIE VIEW EAST,05-34-150-040,07,2010,208000,WRD,1940,107.22,1994,Attachd,2,3,2,1,0,0,Yes,0,1093,0,11477,F-PRD,VinylSd,2-Story,1FamDet,
2025 PRAIRIE VIEW EAST,05-34-151-180,08,2010,250000,WRD,2075,120.48,1993,Attachd,2,3,2,1,1,0,Yes,1,1148,71,10530,F-PRD,MetalSd,2-Story,1FamDet,
2226 HAYES AVE,05-34-176-230,06,2010,171000,WRD,1645,103.95,1971,Attachd,2,4,1,2,0,0,Yes,0,715,46,9600,RL,MetalSd,2-Story,1FamDet,
2208 FILLMORE AVE,05-34-177-190,02,2011,176000,WRD,1832,96.07,1974,Attachd,2,4,2,1,0,0,Yes,1,884,54,9000,RL,MetalSd,2-Story,1FamDet,
2226 NORTHWESTERN AVE,05-34-252-280,04,2011,166500,WRD,1712,97.25,1968,Attachd,2,4,2,1,0,0,Yes,2,832,54,9900,RL,HdBoard,2-Story,1FamDet,
1530 ROOSEVELT AVE,05-34-478-280,12,2010,180000,WRD,2120,84.91,1964,Attachd,2,4,1,2,1,0,Yes,2,1040,65,9360,RL,HdBoard,2-Story,1FamDet,
1306 HARDING AVE,05-34-479-180,06,2011,118500,WRD,1307,90.67,1949,Attachd,1,3,1,1,0,0,Yes,0,560,46,7260,RL,WdShing,1.5 Fin,1FamDet,
1411 WILSON AVE,05-35-353-026,12,2010,175000,WRD,1914,91.43,1956,Attachd,2,3,2,0,1,0,Yes,0,1146,100,10980,RL,VinylSd,1.5 Fin,1FamDet,
1412 WILSON AVE,05-35-354-240,11,2010,131000,WRD,1547,84.68,1952,Attachd,1,4,1,1,0,0,Yes,0,1000,0,12160,RL,MetalSd,1.5 Fin,1FamDet,
1431 DUFF AVE,05-35-380-020,09,2010,112000,COD,1540,72.73,1950,Detachd,1,2,1,1,0,0,Yes,1,768,46,10920,RL,MetalSd,1.5 Fin,1FamDet,
1941 PAULSON DR,05-35-401-010,07,2011,220000,WRD,2245,98.00,1971,Attachd,2,4,2,1,1,0,Yes,1,1232,70,12320,RL,Wd Sdng,2-Story,1FamDet,
1508 DUFF AVE,05-35-450-270,09,2010,135000,WRD,1952,69.16,1950,Detachd,1,4,2,0,0,0,Yes,1,1320,14,11664,RL,WdShing,1.5 Fin,1FamDet,
133 E 13TH ST,05-35-454-070,06,2010,166000,WRD,1385,119.86,1952,Detachd,2,4,2,0,0,0,Yes,0,910,56,8520,RL,BrkFace,1.5 Fin,1FamDet,
119 E 13TH ST,05-35-454-090,05,2011,107000,COD,1170,91.45,1948,Detachd,2,4,1,0,0,0,Yes,0,780,0,10800,RL,AsbShng,1.5 Fin,1FamDet,
1509 LINDEN DR,05-35-475-060,06,2011,155000,WRD,1592,97.36,1963,Attachd,2,4,1,1,0,0,Yes,0,780,52,7300,RL,Wd Sdng,2-Story,1FamDet,
1528 LINDEN DR,05-35-476-360,07,2011,165000,WRD,1851,89.14,1964,Attachd,2,3,2,1,0,0,Yes,1,822,79,9760,RL,Wd Sdng,2-Story,1FamDet,
1534 MEADOWLANE AVE,05-35-477-020,06,2010,155000,WRD,1839,84.28,1966,Attachd,2,4,1,1,0,0,Yes,1,756,0,7700,RL,MetalSd,2-Story,1FamDet,
1212 STAFFORD AVE,09-02-202-110,10,2010,126000,WRD,1437,87.68,1946,Detachd,1,3,1,0,0,0,Yes,1,783,0,6000,UCRM,Wd Sdng,1.5 Fin,1FamDet,
2913 ROSS RD,09-04-100-160,10,2010,140000,WRD,1278,109.55,1948,Attachd,1,4,2,0,0,0,Yes,1,720,0,21286,RL,Wd Sdng,1.5 Fin,1FamDet,
806 ARIZONA AVE,09-05-106-140,07,2010,166000,WRD,1352,122.78,1969,Attachd,1,4,1,1,0,0,Yes,0,663,56,9364,RL,HdBoard,2-Story,1FamDet,
1005 JARRETT CIR,09-05-202-130,05,2011,270000,Ctr,3176,85.01,1978,Attachd,2,4,2,1,1,0,Yes,1,1444,69,13130,RL,Wd Sdng,2-Story,1FamDet,
4414 TIMBER RIDGE DR,09-05-302-140,10,2010,481560,New,2818,170.89,2010,Attachd,3,4,2,1,1,0,Yes,1,1450,49,38849,RL,CemntBd,2-Story,1FamDet,
230 TRAIL RIDGE RD,09-05-352-060,12,2010,184000,WRD,1909,96.39,1976,Attachd,2,4,2,1,0,1,Yes,1,1115,55,17352,RL,HdBoard,2-Story,1FamDet,
3409 OAKLAND ST,09-05-425-110,09,2010,496000,WRD,3500,141.71,1958,BuiltIn,2,3,3,0,0,0,Yes,2,1018,77,54801,RL,BrkFace,1.5 Fin,1FamDet,
309 FRANKLIN AVE,09-05-452-100,09,2010,103500,WRD,1259,82.21,1946,Detachd,1,3,1,1,0,0,No,0,780,0,9360,RL,Wd Sdng,1.5 Fin,1FamDet,
307 FRANKLIN AVE,09-05-452-110,06,2010,127000,WRD,1531,82.95,1947,Detachd,1,3,1,0,0,0,Yes,1,756,25,9350,RL,WdShing,1.5 Fin,1FamDet,
1149 OKLAHOMA DR,09-06-201-030,06,2010,178000,WRD,1732,102.77,1985,Attachd,2,3,2,1,0,0,Yes,1,741,0,9206,RL,HdBoard,2-Story,1FamDet,
4808 IDAHO CIR,09-06-203-080,10,2010,198000,WRD,2448,80.88,1989,Attachd,2,4,2,1,0,0,Yes,1,880,58,15132,RL,Wd Sdng,2-Story,1FamDet,
1006 VERMONT CT,09-06-223-090,06,2010,236000,WRD,1949,121.09,1993,Attachd,2,3,2,1,1,0,Yes,1,1050,71,9938,RL,MetalSd,2-Story,1FamDet,
1031 VERMONT CT,09-06-223-170,02,2011,234000,WRD,2096,111.64,1996,Attachd,2,3,2,1,1,0,Yes,1,1103,73,7999,RL,VinylSd,2-Story,1FamDet,
5506 DURANT ST,09-06-385-090,11,2010,214330,New,1956,109.58,2010,BuiltIn,2,4,2,1,0,0,Yes,1,786,0,10156,FS-RL,CemntBd,2-Story,1FamDet,
5309 THACKERAY DR,09-07-175-090,06,2011,191500,WRD,1653,115.85,1998,Attachd,2,3,2,1,1,0,Yes,0,790,70,9100,RL,VinylSd,2-Story,1FamDet,
