Year,month,inflation,unemployment
1957,Jul,0.004722550177095698,4.2
1957,Aug,0.0011792452830188009,4.1
1957,Sep,0.0011778563015313135,4.4
1957,Oct,0,4.5
1957,Nov,0.003521126760563347,5.1
1957,Dec,0,5.2
1958,Jan,0.005834305717619603,5.8
1958,Feb,0.0011655011655010994,6.4
1958,Mar,0.006944444444444543,6.7
1958,Apr,0.0023094688221707697,7.4
1958,May,0,7.4
1958,Jun,0.0011534025374856807,7.3
1958,Jul,0.0011520737327188285,7.5
1958,Aug,-0.0011534025374855168,7.4
1958,Sep,0,7.1
1958,Oct,0,6.7
1958,Nov,0.0011520737327188285,6.2
1958,Dec,-0.0011534025374855168,6.2
1959,Jan,0.0011520737327188285,6
1959,Feb,-0.0011534025374855168,5.9
1959,Mar,0,5.6
1959,Apr,0.0011520737327188285,5.2
1959,May,0.0011507479861911222,5.1
1959,Jun,0.004581901489117886,5
1959,Jul,0.0022857142857143184,5.1
1959,Aug,-0.0011441647597253354,5.2
1959,Sep,0.0034207525655643918,5.5
1959,Oct,0.003409090909090877,5.7
1959,Nov,0,5.8
1959,Dec,0,5.3
1960,Jan,-0.0011376564277587522,5.2
1960,Feb,0.0011363636363635717,4.8
1960,Mar,0,5.4
1960,Apr,0.005649717514124294,5.2
1960,May,0,5.1
1960,Jun,0.002254791431792591,5.4
1960,Jul,0,5.5
1960,Aug,0,5.6
1960,Sep,0.0011261261261260621,5.5
1960,Oct,0.004484304932735489,6.1
1960,Nov,0.0011198208286673497,6.1
1960,Dec,0,6.6
1961,Jan,0,6.6
1961,Feb,0,6.9
1961,Mar,0,6.9
1961,Apr,0,7
1961,May,0,7.1
1961,Jun,0.0011185682326622878,6.9
1961,Jul,0.004454342984409705,7
1961,Aug,-0.0011148272017836602,6.6
1961,Sep,0.0022246941045606546,6.7
1961,Oct,0,6.5
1961,Nov,0,6.1
1961,Dec,0,6
1962,Jan,0,5.8
1962,Feb,0.0022197558268589193,5.5
1962,Mar,0.0022148394241417813,5.6
1962,Apr,0.002209944751381247,5.6
1962,May,0,5.5
1962,Jun,0,5.5
1962,Jul,0.002205071664829138,5.4
1962,Aug,0,5.7
1962,Sep,0.005482456140350877,5.6
1962,Oct,-0.0010976948408343418,5.4
1962,Nov,0,5.7
1962,Dec,-0.0010989010989010365,5.5
