date,fuel,cost,miles,ethanol,octane,mpg,day
2015-12-07,13.311,25.28,240.3,10,87,18.052738336713997,1228
2015-12-19,14.314,27.33,226.2,10,87,15.802710632946765,1240
2015-12-19,6.998,13.22,156.8,0,87,22.406401829094026,1240
2015-12-23,14.816,26.95,303.8,0,87,20.5048596112311,1244
2015-12-27,9.967,17.23,184.6,0,87,18.521119694993477,1248
2016-01-02,16.99,28.53,324.3,NA,NA,19.08769864626251,1254
2016-01-03,14.088,25.77,303,0,87,21.507666098807498,1255
2016-01-04,7.292,12.83,152.5,10,87,20.91332967635765,1256
2016-01-16,16.501,27.38,248.6,10,87,15.065753590691472,1268
2016-01-23,9.428,15.64,144.7,10,87,15.347899872719557,1275
2016-02-06,12.973,20.22,193.6,10,87,14.923302243120325,1289
2016-02-13,9.14,13.43,140.9,10,87,15.415754923413566,1296
2016-03-05,17.133,29.49,281.9,10,87,16.453627502480593,1317
2016-03-16,14.741,28.44,250.9,0,87,17.020554914863308,1328
2016-03-20,16.728,33.44,330.4,0,87,19.75131516021042,1332
2016-03-20,11.201,22.17,249.1,0,87,22.239085795911077,1332
2016-03-26,9.999,19.09,175.9,10,87,17.59175917591759,1338
2016-04-09,9.921,18.94,155.1,10,87,15.633504687027518,1352
2016-04-22,13.257,27.16,229.3,10,87,17.296522591838276,1365
2016-05-11,15.686,32.14,280.4,10,87,17.875812826724466,1384
2016-05-29,15.486,34.67,268.7,10,87,17.35115588273279,1402
2016-06-21,10.875,24.34,172.3,10,87,15.843678160919541,1425
2016-07-01,17.838,38.51,382.9,10,89,21.46541092050678,1435
2016-07-10,15.64,33.77,351.2,NA,87,22.455242966751918,1444
2016-07-15,9.758,20.29,191.6,10,87,19.635171141627385,1449
2016-07-15,15.738,40.9,359,0,87,22.811030626509087,1449
2016-07-16,14.735,36.51,332.7,0,87,22.578893790295215,1450
2016-07-20,9.567,24.88,203.2,0,87,21.239678059997907,1454
2016-07-25,12.353,33.59,284.4,0,87,23.022747510726138,1459
2016-07-26,11.722,28.82,307,0,88,26.190069953932777,1460
2016-07-26,7.15,17.94,175.8,0,87,24.587412587412587,1460
2016-07-29,13.695,36.96,286.3,10,87,20.905439941584522,1463
2016-07-31,11.375,25.92,275.8,10,87,24.24615384615385,1465
2016-07-31,9.702,21.92,178.1,10,87,18.357039785611214,1465
2016-08-01,13.178,31.61,257.9,10,87,19.57049628168159,1466
2016-08-01,17.819,33.84,338.3,10,87,18.985352713395816,1466
2016-08-01,9.23,19.34,182.8,0,87,19.80498374864572,1466
2016-08-10,11.743,24.65,222.1,10,87,18.913395214170144,1475
2016-08-10,10.225,21.87,242.6,0,87,23.726161369193154,1475
2016-08-15,14.648,32.21,310,0,87,21.163298743855815,1480
2016-08-15,9.879,20.44,217.3,0,87,21.996153456827617,1480
2016-08-16,8.089,16.57,156,10,87,19.28544937569539,1481
2016-09-01,17.252,37.07,265.6,10,87,15.395316485045214,1497
2016-09-16,14.804,31.07,316.7,0,87,21.392866792758714,1512
2016-09-18,10.364,23.31,248.1,0,87,23.938633732149746,1514
2016-09-18,6.52,14.04,139.1,0,87,21.33435582822086,1514
2016-09-23,12.22,26.87,242.8,10,87,19.869067103109657,1519
2016-10-07,15.039,32.17,268.5,10,87,17.853580690205465,1533
2016-10-16,16.038,34.31,346.4,10,87,21.59870308018456,1542
2016-11-11,17.05,34.76,312.3,10,87,18.316715542521994,1568
2016-11-21,13.331,26.12,272.2,0,87,20.418573250318804,1578
2016-11-26,10.914,21.27,224.1,0,87,20.533260032985158,1583
2016-11-26,9.818,19.63,221.1,0,87,22.519861478916276,1583
2016-11-28,8.89,18.13,159.3,10,87,17.919010123734534,1585
2016-12-14,17.297,38.04,246.8,10,87,14.268370237613459,1601
2016-12-21,11.54,26.3,192.6,10,87,16.689774696707108,1608
2016-12-21,7.998,17.54,150.4,0,87,18.804701175293825,1608
2016-01-03,5.706,13.12,99,0,87,17.350157728706623,1255
2016-01-03,11.552,26.79,214.5,10,87,18.56821329639889,1255
2016-01-20,16.53,30.43,205.5,10,87,12.431941923774954,1272
2016-02-02,13.261,29.43,224,10,87,16.891637131438053,1285
2016-02-10,10.161,22.55,173.4,10,87,17.06524948331857,1293
2017-02-17,7.782,17.97,137.5,10,87,17.668979696736056,1666
2017-03-03,15.1,33.98,260.8,10,87,17.271523178807946,1680
2017-03-17,13.648,30.01,248.6,10,87,18.21512309495897,1694
2017-04-01,11.339,24.48,197.4,10,87,17.408942587529765,1709
2017-04-22,14.901,35.15,242.5,10,87,16.274075565398295,1730
2017-04-23,13.405,30.95,310.4,10,87,23.155538977993285,1731
2017-05-12,17.373,37.68,291.7,10,87,16.790421919069818,1750
2017-05-26,12.608,28.61,195.6,10,87,15.513959390862944,1764
2017-06-01,15.089,33.18,301.7,10,87,19.99469812446153,1770
2017-06-02,8.608,22.37,188.1,0,87,21.851765799256505,1771
2017-06-02,6.85,15.47,144.1,0,87,21.036496350364963,1771
2017-06-02,6.712,18.45,120.2,10,87,17.90822407628129,1771
2017-06-02,8.337,25.5,190,10,87,22.78997241213866,1771
2017-06-05,7.766,20.34,181.8,10,87,23.409734741179502,1774
2017-06-11,11.162,28.34,231.9,10,87,20.77584662246909,1780
2017-06-11,14.664,31.66,293.3,10,87,20.00136388434261,1780
2017-06-11,16.366,35.66,358,10,87,21.874618110717343,1780
2017-06-20,16.744,34.31,349.1,10,87,20.84925943621596,1789
2017-07-02,16.913,37.19,315.2,0,87,18.63655176491456,1801
2017-07-04,16.98,34.45,349.4,0,87,20.57714958775029,1803
2017-07-07,13.26,29.16,313.8,0,87,23.665158371040725,1806
2017-07-08,11.164,23.66,232.7,10,87,20.84378359011107,1807
2017-07-11,16.384,35.86,355.7,10,87,21.710205078125,1810
2017-07-13,16,35.34,384.6,10,87,24.0375,1812
2017-07-15,16.172,35.56,318,0,87,19.663616126638633,1814
2017-07-21,16.536,37.19,352.5,0,87,21.317126269956457,1820
2017-07-21,9.076,19.96,215.1,0,87,23.699867783164386,1820
2017-07-25,9.894,20.97,172.8,10,87,17.46513038204973,1824
2017-07-29,15.602,35.56,321.6,10,87,20.612741956159468,1828
2017-08-01,12.548,32.61,259.5,10,87,20.680586547656997,1831
2017-08-01,16.821,37.83,363.3,0,87,21.5980024968789,1831
2017-08-06,15.563,35.78,300,0,87,19.276489108783654,1836
2017-08-08,12.383,28.47,279,0,87,22.53088912218364,1838
2017-08-13,11.282,25.71,218.7,10,87,19.384860840276545,1843
2017-08-17,10.188,23.42,262.8,0,87,25.795053003533567,1847
2017-08-18,15.256,35.99,328.9,10,87,21.558730991085472,1848
2017-01-17,10.228,21.06,245.1,10,87,23.963629253030895,1635
2017-08-21,14.957,34.09,340.6,10,87,22.771946245904928,1851
2017-09-03,15.641,40.65,344.4,10,87,22.019052490249983,1864
2017-09-14,17.768,45.25,350.5,10,87,19.726474561008555,1875
2017-09-15,2.978,7.44,95.6,10,87,32.102081934184014,1876
2017-09-17,8.685,21.7,161.8,10,87,18.629821531375935,1878
2017-09-25,16.194,39.17,306,10,87,18.895887365691,1886
2017-10-10,16.231,39.26,304.4,10,87,18.754235721766985,1901
2017-10-25,11.918,28.11,224.5,10,87,18.83705319684511,1916
2017-11-01,9.991,27.37,177.4,10,87,17.75598038234411,1923
2017-11-12,15.806,39.5,274.6,10,87,17.37314943692269,1934
2017-11-18,16.027,40.05,302,10,87,18.843202096462218,1940
2017-11-26,11.831,28.38,223.5,10,87,18.891048939227453,1948
2017-12-01,11.523,28.68,185.7,10,87,16.115594897162197,1953
2017-12-01,13.171,32.39,298.8,0,87,22.686204540277885,1953
2017-12-03,14.029,34.36,297,0,87,21.170432675172858,1955
2017-12-04,8.574,18.6,152.6,10,87,17.797993935152785,1956
2017-12-17,13.676,36.64,205.4,0,87,15.019011406844106,1969
2017-12-17,7.2,19.5,130.2,0,87,18.083333333333332,1969
2017-12-17,11.514,26.47,204.8,10,87,17.787041862080947,1969
2017-12-17,14.939,41.19,273.2,10,87,18.287703326862573,1969
2017-12-22,16.633,42.23,305.4,0,87,18.36108940058919,1974
2017-12-26,11.578,30.67,202,0,89,17.446882017619625,1978
2017-12-26,13.926,33.41,238.3,10,87,17.1118770644837,1978
2017-12-26,16.515,38.98,275.8,10,87,16.699969724492885,1978
2018-01-15,15.847,37.22,237.6,10,87,14.993374140215813,1998
2018-06-08,15.357,44.52,284.2,10,87,18.506218662499187,2142
2018-06-10,15.561,45.11,341.6,0,87,21.952316689158796,2144
2018-06-18,16.877,44.2,319.2,10,87,18.913313977602655,2152
2018-06-21,14.254,38.47,307.6,10,87,21.579907394415606,2155
2018-06-26,13.234,34,284.3,10,87,21.48254495995164,2160
2018-06-29,10.197,28.13,200.1,10,87,19.623418652544867,2163
2018-07-01,12.451,34.1,278.9,0,87,22.399807244398037,2165
2018-07-02,13.185,35.59,291,0,87,22.070534698521048,2166
2018-07-05,14.865,35.66,326.4,0,87,21.957618567103932,2169
2018-07-11,17.542,49.1,370.9,0,87,21.143541215368828,2175
2018-07-13,17.563,47.4,366.1,10,87,20.844958150657636,2177
2018-07-19,12.895,33.9,239.5,10,87,18.573090345095,2183
2018-07-19,6.664,18.12,146.6,0,87,21.998799519807925,2183
2018-07-19,7.894,22.1,190.8,0,87,24.170255890549786,2183
2018-07-22,10.322,27.86,197.3,10,87,19.11451269133889,2186
2018-07-22,6.859,18.24,145.5,10,87,21.213004811196967,2186
2018-07-22,6.778,18.43,147.7,0,87,21.791088816760105,2186
2018-07-23,7.449,18.99,154.3,10,87,20.71418982413747,2187
2018-07-28,8.762,24.09,157.2,10,87,17.941109335768086,2192
2018-08-07,12.043,33.23,259.4,10,87,21.539483517395997,2202
2018-08-10,11.388,31.08,231,10,87,20.284510010537407,2205
2018-08-10,6.455,17.42,147.1,0,87,22.78853601859024,2205
