sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120012182661	62200203	12	1	0	C60LX1975	C63LW1044	62	200203
985120012182661	62200208	6	2	0	C60LX1975	C63LW1044	62	200208
985120012184017	62200204	10	1	2	C60LX1975	C63LW1044	62	200204
985120012184017	62200208	11	2	2	C60LX1975	C63LW1044	62	200208
985120012184887	62200203	11	1	0	C60LW11174	C60LW122	62	200203
985120012184887	62200208	15	2	0	C60LW11174	C60LW122	62	200208
985120012186682	62200203	13	1	0	C63LW11849	C63LW10945	62	200203
985120012188061	62200203	8	1	0	C63LX1597	C63LW4378	62	200203
985120012421578	62200310	8	1	4	C60LY9190	C63LY2286	62	200310
985120012421578	62200402	9	2	2	C60LY9190	C63LY2286	62	200402
985120012421578	62200407	15	3	2	C60LY9190	C63LY2286	62	200407
985120012421578	62200412	10	4	0	C60LY9190	C63LY2286	62	200412
985120012451869	62200203	9	1	1	C63LX1597	C60LW379	62	200203
985120012451869	62200208	9	2	2	C63LX1597	C60LW379	62	200208
985120012451969	62200203	5	1	0	C60LW10451	C60LW11056	62	200203
985120012451969	62200208	9	2	5	C60LW10451	C60LW11056	62	200208
985120012451969	62200301	17	3	4	C60LW10451	C60LW11056	62	200301
985120012451969	62200305	9	4	5	C60LW10451	C60LW11056	62	200305
985120012451969	62200310	8	5	3	C60LW10451	C60LW11056	62	200310
985120012454239	62200203	14	1	0	C60LW11174	C60LW122	62	200203
985120012454239	62200208	6	2	0	C60LW11174	C60LW122	62	200208
985120012454239	62200301	9	3	1	C60LW11174	C60LW122	62	200301
985120012454239	62200305	8	4	0	C60LW11174	C60LW122	62	200305
985120012454239	62200310	13	5	0	C60LW11174	C60LW122	62	200310
985120012456847	62200203	15	1	1	C60LW7856	C60LU11698	62	200203
985120012456847	62200208	13	2	0	C60LW7856	C60LU11698	62	200208
985120012456999	62200203	10	1	1	C60LW11174	C60LW10779	62	200203
985120012456999	62200208	15	2	0	C60LW11174	C60LW10779	62	200208
985120012456999	62200301	14	3	3	C60LW11174	C60LW10779	62	200301
985120012456999	62200305	9	4	1	C60LW11174	C60LW10779	62	200305
985120012456999	62200311	12	5	2	C60LW11174	C60LW10779	62	200311
985120012461128	62200203	11	1	0	C63LX1597	C60LW6506	62	200203
985120012461128	62200208	14	2	2	C63LX1597	C60LW6506	62	200208
